card_cm_bank60m_pct,card_cm_bank24m_pct
1.0,0.16699999999999998
-1.0,-1.0
-1.0,-1.0
0.421,0.368
0.0,0.0
1.0,0.0
-1.0,-1.0
0.5,0.0
0.0,0.0
1.0,1.0
0.7140000000000001,0.28600000000000003
1.0,1.0
0.917,0.333
0.2,0.2
1.0,1.0
0.0,0.0
1.0,0.0
0.16699999999999998,0.0
1.0,0.667
0.778,0.444
-1.0,-1.0
0.684,0.474
1.0,1.0
-1.0,-1.0
0.474,0.0
0.5379999999999999,0.308
0.6,0.0
1.0,1.0
-1.0,-1.0
0.375,0.0
0.17600000000000002,0.118
1.0,1.0
1.0,0.0
0.818,0.0
-1.0,-1.0
0.0,0.0
1.0,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.222
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
0.0,0.0
1.0,0.0
1.0,0.5
1.0,0.333
1.0,0.75
1.0,1.0
-1.0,-1.0
1.0,1.0
0.348,0.217
-1.0,-1.0
-1.0,-1.0
0.923,0.615
-1.0,-1.0
0.0,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.6920000000000001
1.0,1.0
1.0,0.0
-1.0,-1.0
0.0,0.0
1.0,0.0
1.0,1.0
-1.0,-1.0
0.28600000000000003,0.28600000000000003
-1.0,-1.0
1.0,1.0
0.7140000000000001,0.0
0.067,0.0
0.621,0.517
-1.0,-1.0
-1.0,-1.0
1.0,0.125
-1.0,-1.0
1.0,1.0
1.0,1.0
0.097,0.032
-1.0,-1.0
0.0,0.0
-1.0,-1.0
1.0,1.0
-1.0,-1.0
-1.0,-1.0
0.138,0.0
0.0,0.0
1.0,1.0
1.0,0.0
0.64,0.12
0.6,0.0
-1.0,-1.0
0.333,0.333
1.0,0.0
1.0,0.333
0.077,0.0
1.0,1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
0.429,0.28600000000000003
-1.0,-1.0
0.0,0.0
1.0,0.4
-1.0,-1.0
0.923,0.5379999999999999
0.16699999999999998,0.16699999999999998
-1.0,-1.0
1.0,0.0
1.0,1.0
1.0,0.429
0.421,0.211
1.0,0.28600000000000003
-1.0,-1.0
1.0,0.917
0.909,0.273
0.429,0.0
0.667,0.667
0.5,0.0
-1.0,-1.0
1.0,1.0
-1.0,-1.0
0.917,0.0
0.5,0.0
0.5,0.5
1.0,1.0
-1.0,-1.0
-1.0,-1.0
0.867,0.133
-1.0,-1.0
0.833,0.16699999999999998
0.667,0.111
1.0,1.0
0.75,0.75
-1.0,-1.0
1.0,0.5
0.4,0.3
1.0,1.0
0.7140000000000001,0.0
0.545,0.0
1.0,1.0
1.0,0.25
-1.0,-1.0
0.947,0.211
0.867,0.0
0.727,0.182
0.7140000000000001,0.5710000000000001
0.111,0.0
-1.0,-1.0
-1.0,-1.0
0.211,0.0
0.333,0.0
1.0,0.75
0.25,0.0
-1.0,-1.0
0.643,0.28600000000000003
1.0,0.25
0.16699999999999998,0.056
-1.0,-1.0
1.0,0.345
1.0,0.5
0.16699999999999998,0.0
0.833,0.5
-1.0,-1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,0.4
1.0,0.75
1.0,0.333
-1.0,-1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.889
0.0,0.0
1.0,0.667
0.625,0.0
-1.0,-1.0
0.5,0.0
-1.0,-1.0
0.219,0.125
-1.0,-1.0
0.5710000000000001,0.14300000000000002
0.333,0.16699999999999998
1.0,1.0
0.619,0.238
1.0,0.0
-1.0,-1.0
-1.0,-1.0
0.917,0.16699999999999998
-1.0,-1.0
0.889,0.0
-1.0,-1.0
0.2,0.0
0.9,0.5
1.0,1.0
0.455,0.455
0.909,0.0
1.0,1.0
0.25,0.25
-1.0,-1.0
