card_cm_bank12m_pct,card_cm_bank24m_pct,card_cm_bank60m_pct
0.5,1.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.0,0.0,0.33299999999999996
0.0,0.037000000000000005,0.63
-1.0,-1.0,-1.0
0.14300000000000002,0.14300000000000002,1.0
-1.0,-1.0,-1.0
0.14300000000000002,0.14300000000000002,0.5710000000000001
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.429,0.429,0.643
-1.0,-1.0,-1.0
0.0,0.0,0.667
0.0,0.0,0.958
0.667,1.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.4
-1.0,-1.0,-1.0
1.0,1.0,1.0
0.0,1.0,1.0
0.0,0.0,0.0
0.091,0.091,0.455
0.0,0.0,0.833
0.026000000000000002,0.368,0.42100000000000004
0.0,0.0,0.0
0.071,0.857,1.0
0.0,0.0,0.0
0.182,0.182,0.182
0.0,0.16699999999999998,1.0
0.0,0.33299999999999996,0.467
0.0,0.25,0.25
0.0,0.0,0.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.071
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.25,0.25
0.0,0.25,0.25
0.0,0.25,0.25
0.0,1.0,1.0
0.031,0.094,0.938
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.188,0.188,1.0
0.5,1.0,1.0
0.0,0.5,1.0
0.0,0.33299999999999996,0.667
0.0,0.182,1.0
0.0,0.0,0.75
0.478,0.522,0.652
0.1,0.1,0.4
0.083,0.667,1.0
0.4,0.6,1.0
0.0,0.2,0.6
0.0,0.14800000000000002,0.9259999999999999
0.0,0.2,0.6
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.28600000000000003,0.905,1.0
0.4,0.4,0.6
0.0,0.0,1.0
0.0,0.0,1.0
0.0,1.0,1.0
0.0,0.33299999999999996,1.0
0.111,0.111,0.667
0.0,0.125,0.5
0.0,0.0,1.0
0.0,0.071,0.9640000000000001
0.0,0.0,0.5
0.185,0.222,0.556
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.33299999999999996,0.33299999999999996,1.0
0.16699999999999998,0.25,0.33299999999999996
-1.0,-1.0,-1.0
0.5,1.0,1.0
-1.0,-1.0,-1.0
0.733,0.733,0.8
0.2,0.2,0.9
-1.0,-1.0,-1.0
0.0,0.02,0.54
0.0,0.0,0.5
0.75,1.0,1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.33299999999999996,0.33299999999999996
0.0,0.094,1.0
0.0,0.0,0.75
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.055999999999999994,0.111,1.0
0.25,0.25,0.25
0.0,0.0,0.0
0.0,0.0,0.0
0.5,0.5,1.0
0.9329999999999999,0.9329999999999999,1.0
0.25,0.25,1.0
0.0,0.0,0.0
0.091,0.455,0.545
0.33299999999999996,0.33299999999999996,1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.16699999999999998,1.0,1.0
0.0,1.0,1.0
-1.0,-1.0,-1.0
0.41700000000000004,0.542,0.708
0.0,0.25,0.5
0.0,0.136,1.0
0.0,0.4,1.0
0.125,0.125,0.625
0.5,0.5,1.0
0.0,0.4,1.0
0.0,0.4,1.0
0.5,0.5,1.0
0.0,0.0,0.0
-1.0,-1.0,-1.0
0.0,1.0,1.0
0.0,0.077,0.615
0.0,0.0,0.364
0.33299999999999996,0.33299999999999996,1.0
0.0,0.0,0.33299999999999996
-1.0,-1.0,-1.0
0.33299999999999996,0.33299999999999996,1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,0.25
0.833,0.833,0.833
0.105,0.263,0.895
0.33299999999999996,0.667,0.667
0.0,0.0,0.5
0.0,0.556,0.889
0.0,0.0,0.25
0.2,0.2,0.8
0.0,0.077,1.0
0.111,0.111,1.0
0.0,0.083,0.5
0.0,0.0,1.0
0.0,0.0,1.0
0.33299999999999996,0.33299999999999996,1.0
0.33299999999999996,0.33299999999999996,1.0
0.16699999999999998,0.16699999999999998,0.16699999999999998
0.0,0.0,0.182
0.25,0.75,0.75
0.182,0.409,1.0
0.083,0.41700000000000004,0.583
0.0,0.0,0.33299999999999996
0.5,0.5,0.5
0.0,0.0,0.5
-1.0,-1.0,-1.0
0.077,0.077,0.385
0.33299999999999996,0.33299999999999996,0.833
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.33299999999999996,0.33299999999999996,0.833
-1.0,-1.0,-1.0
0.062,0.062,0.688
0.1,0.2,0.7
0.0,0.0,1.0
0.0,0.6,0.667
0.0,0.0,0.769
-1.0,-1.0,-1.0
0.0,0.0,0.0
-1.0,-1.0,-1.0
0.25,0.25,0.5
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.1,0.3,0.4
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.182,0.909
-1.0,-1.0,-1.0
0.0,0.0,0.8
0.0,0.0,0.8
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.16699999999999998,0.33299999999999996,0.667
0.0,0.0,0.16699999999999998
0.16699999999999998,0.33299999999999996,0.667
0.0,0.5,1.0
0.182,0.182,0.364
0.0,1.0,1.0
0.308,0.308,0.462
-1.0,-1.0,-1.0
0.0,0.4,0.4
0.8,0.8,1.0
0.0,0.0,0.0
0.25,0.25,0.25
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.1,0.1
0.062,0.125,1.0
0.28600000000000003,0.28600000000000003,0.429
0.0,0.0,0.375
0.33299999999999996,0.33299999999999996,1.0
0.067,0.067,0.267
0.4,0.8,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.474,0.526,0.579
0.0,0.25,0.75
0.0,0.0,0.28600000000000003
0.4,0.8,1.0
0.0,0.3,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.9
0.0,0.125,0.125
0.154,0.462,0.769
0.0,0.182,0.727
0.4,0.8,1.0
0.33299999999999996,1.0,1.0
0.0,0.0,0.667
0.0,0.0,0.0
0.2,0.2,0.6
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
-1.0,-1.0,-1.0
1.0,1.0,1.0
0.0,0.0,0.0
0.0,0.375,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.6
0.0,0.0,0.75
0.0,0.25,1.0
0.0,0.5,1.0
0.0,0.25,1.0
0.0,1.0,1.0
0.0,0.0,0.33299999999999996
0.222,0.33299999999999996,1.0
0.2,0.2,0.6
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.8
0.0,1.0,1.0
0.0,0.0,0.444
0.0,0.0,0.0
0.429,0.5710000000000001,1.0
